Umpire,Game_ID,Home/Away,Called Ball/Strike,Pitch_X,Pitch_Y,Pitcher_Hand,Batter_Hand,Pitch_Type,Pitch_Speed
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,182,-130,L,L,FA,93.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Strike,-58,-56,L,L,FA,94.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,117,43,L,L,FA,93.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,0,-143,L,L,FA,94.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Strike,64,-43,L,R,SL,80.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Strike,11,82,L,R,FA,91.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-52,165,L,R,FA,93.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-47,195,L,R,FA,94.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-217,100,L,R,SL,79.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-211,117,L,R,SL,78.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,-129,34,R,R,FA,94.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,-164,-43,R,R,CU,81.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,88,43,R,L,FA,95.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,147,47,R,L,FA,96.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,164,117,R,L,FA,96.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,-94,-21,R,R,SL,90.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,-100,39,R,R,FA,96.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-105,-139,L,R,CH,86.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-152,-104,L,R,CH,85.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-211,43,L,R,FA,91.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Strike,47,-95,L,R,FA,91.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Strike,17,-73,L,R,FA,89.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,258,-178,L,R,SL,79.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-176,47,L,R,CH,85.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-205,39,L,R,CH,87.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Strike,-5,13,L,R,FA,93.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Strike,88,34,L,R,FA,92.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,41,165,L,R,FA,92.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,52,-165,L,R,SL,75.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Strike,11,39,L,R,SL,76.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,129,86,R,L,FA,95.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,-52,95,R,L,FA,95.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,-11,-4,R,L,CU,81.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,-152,43,R,R,FA,95.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,-176,43,R,R,FA,97.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,-64,73,R,R,FA,96.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,-135,69,R,R,FA,96.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,35,-217,L,R,SL,77.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-152,156,L,R,FA,90.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-135,-130,L,R,SL,78.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Strike,11,-21,L,R,SL,75.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-94,134,L,R,FA,93.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Strike,-94,-17,L,R,FA,89.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,141,8,R,L,FA,94.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,29,-217,R,L,SL,89.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,-82,30,R,L,FA,96.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,-194,156,R,L,FA,98.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,-170,-121,R,R,FA,96.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,-100,-21,R,R,SL,91.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,-158,-69,R,R,FA,97.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,-111,-100,R,R,FA,96.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,-129,-217,R,R,CU,80.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,23,-152,R,L,FA,97.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-158,-134,R,L,CU,85.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,29,213,R,R,FA,98.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-170,147,R,R,FA,100.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,11,-178,R,R,CU,88.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Strike,100,-69,R,R,CU,85.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,-35,-39,R,R,FA,97.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,-176,160,R,R,FA,98.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,-135,191,R,R,FA,97.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,-94,160,R,R,FA,98.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,-52,-34,R,L,CU,80.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,-17,-26,R,L,CU,82.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,-147,-91,R,R,FA,97.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,-129,-130,R,R,FA,96.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,-11,-13,R,R,FA,96.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,-194,-78,R,R,FA,97.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,-188,17,R,L,FA,98.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,-188,-134,R,L,FA,98.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,-147,4,R,L,FA,97.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,-182,-56,R,L,FA,96.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,94,-73,R,L,FA,98.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,188,182,R,L,FA,98.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,23,-130,R,L,FA,99.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,-76,-82,R,L,CU,82.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,141,52,R,L,FA,98.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,82,-86,R,L,FA,97.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,-76,-208,R,L,CU,83.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,141,-60,R,L,FA,98.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Strike,-23,-8,R,R,CU,85.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Strike,-52,100,R,R,FA,98.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,152,4,R,R,FA,99.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,182,-108,R,R,FA,97.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,200,34,R,L,CU,86.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,147,56,R,L,CU,85.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,135,13,R,L,CU,84.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Strike,0,-56,R,L,FA,98.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-82,-113,R,R,FA,99.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Strike,-123,-113,R,R,FA,100.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,152,-69,R,R,FA,99.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,100,69,R,R,FA,100.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,152,21,R,R,FA,94.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,0,100,R,R,FA,95.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,17,-91,R,R,CU,78.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,-135,-191,R,R,CU,84.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-135,-213,R,L,CU,85.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-176,-43,R,L,FA,95.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-164,104,R,R,FA,96.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Strike,-70,-117,R,R,FA,96.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-47,134,R,R,FA,96.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,11,165,R,R,CU,84.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-141,-204,R,R,CU,85.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-35,182,R,R,FA,95.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-111,147,R,R,FA,96.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,111,17,R,L,FA,95.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,5,-60,R,L,CU,82.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,217,121,R,L,FA,96.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,5,-139,R,L,FA,96.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,-29,-52,R,R,CU,84.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,88,113,R,R,FA,96.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,11,-121,R,R,SL,85.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,0,-191,R,R,FA,85.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-117,-147,R,R,SL,84.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-182,-95,R,R,FA,95.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,-111,4,R,R,CU,86.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,-105,-104,R,R,CU,84.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,0,-139,R,R,CU,87.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,88,-139,R,L,CU,86.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,-35,-191,R,L,CU,87.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,52,8,R,L,CH,89.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,-152,-86,R,R,CU,87.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,-17,-200,R,R,CH,89.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-29,-160,R,L,CU,80.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Strike,0,-4,R,R,CU,79.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-123,-191,R,R,CU,80.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Strike,-94,0,R,R,FA,91.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-141,-213,R,R,CU,80.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Strike,64,26,R,L,CU,79.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-205,-4,R,L,CT,86.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,17,173,R,L,FA,90.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Strike,88,4,R,L,CU,78.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Strike,-35,-121,R,R,FA,93.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Away,Ball,-82,-186,R,R,FA,95.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,0,-21,R,R,FA,90.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,-182,-82,R,R,FA,92.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,47,121,R,R,FA,90.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,-35,-65,R,R,SL,79.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,100,-91,R,R,FA,92.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,-35,-126,R,L,FA,93.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,76,-100,R,L,FA,92.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Strike,82,-91,R,L,FA,92.0
James Hoye,000023f8-e153-4dcd-9ba0-627ecc9f162e,Home,Ball,82,78,R,R,FA,91.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,188,0,R,L,FA,96.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,170,17,R,L,FA,96.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Strike,147,-30,R,L,FA,96.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,211,21,R,L,CH,88.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,182,30,R,L,CU,82.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,-23,-147,R,L,SL,86.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,241,113,R,L,FA,87.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,-176,-121,R,L,FA,97.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,182,-130,R,L,CU,80.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Home,Ball,-182,104,L,R,FA,90.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Home,Ball,100,-47,L,R,CU,77.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Home,Ball,-182,91,L,R,FA,91.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,170,126,R,R,SL,85.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,135,-139,R,R,FA,97.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,205,43,R,L,CU,81.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,170,69,R,L,FA,96.0
